from_name,to_name
机械师,派拉蒙影业公司
低俗小说,米拉麦克斯影业公司等
楚门的世界,派拉蒙家庭视频公司
铠甲勇士拿瓦,广东奥飞动漫文化股份有限公司
泰迪熊,环球影业
如意,北京电影制片厂
夜访吸血鬼,华纳兄弟电影公司
钢铁侠2,派拉蒙影业公司
蚁人,华特·迪士尼电影工作室
金太狼的幸福生活,美亚华天下电影发行有限公司
金太狼的幸福生活,北京华录百纳影视有限公司
超级战舰,环球影业
家,Home
前度,英皇电影
海扁王,狮门影业
金刚,环球影业
致命魔术,华纳兄弟公司
大逃杀,东映映画
铁观音,邵氏兄弟
铁观音,香港
铁观音,有限公司
阳光灿烂的日子,嘉禾电影有限公司
阳光灿烂的日子,美亚娱乐有限公司
浪客剑心,华纳兄弟
禁室培欲3：香港情夜,寰宇镭射录影有限公司
灰姑娘,华特·迪士尼
蝴蝶,Rézo
蝴蝶,Films
碟中谍,派拉蒙影业公司
巴西,环球影业公司
谍影重重4,环球影业
岁月神偷,华天下
岁月神偷,大地时代文化
满江红,大利影业公司
超能陆战队,华特迪士尼公司
血滴子,星美传媒集团有限公司
刺客信条,二十世纪福斯电影公司
白发魔女传之明月天国,博纳影业集团
梅花,北京基点影视文化传媒有限公司
智取威虎山3D,天津博纳文化传媒有限公司
智取威虎山3D,华夏电影发行有限责任公司
智取威虎山3D,五洲电影发行有限公司等
建国大业,博纳影业集团
建国大业,中国电影集团公司
力王,寰亚影视发行
力王,香港
力王,有限公司
搏击俱乐部,二十世纪福斯电影公司
伟大的隐藏者,Showbox
埃及艳后,二十世纪福克斯
爱丽丝梦游仙境,1
爱丽丝梦游仙境,Image
爱丽丝梦游仙境,Entertainment
爱丽丝梦游仙境,Inc
爱丽丝梦游仙境,[美国]
爱丽丝梦游仙境,2
爱丽丝梦游仙境,First
爱丽丝梦游仙境,Run
爱丽丝梦游仙境,Features[美国]
杀死比尔,华特·迪士尼电影公司
一步之遥,中国电影股份有限公司
木乃伊4,环球影业
有一个地方只有我们知道,中国电影股份有限公司北京电影发行分公司
踩碳,中国新电影集团
幸福,Showbox
幸福,Mediaplex
幸福,Inc
史密斯夫妇,二十世纪福克斯电影公司
侏罗纪世界,环球影业
超凡蜘蛛侠2,哥伦比亚电影公司
蝴蝶,中国电影发行放映公司
爸爸去哪儿,北京光线影业有限公司
狼图腾,中国电影股份有限公司
狼图腾,Mars
狼图腾,Films
李元霸,建成影片公司
星际迷航,派拉蒙影业公司
星际迷航,美国
金瓶梅之鸳鸯戏床,建亨影视有限公司
观音山,北京盛世新影影视发行有限公司等
少林寺,邵氏兄弟公司
我们都是坏孩子,芭乐互动
香水：一个谋杀犯的故事,VIP
香水：一个谋杀犯的故事,4
香水：一个谋杀犯的故事,Medienfonds
香水：一个谋杀犯的故事,Davis-Films
青蜂侠,哥伦比亚影片公司
穿普拉达的女王,二十世纪福克斯电影公司
范海辛,环球影业
末代皇帝,亚提森娱乐
普罗米修斯2,20世纪福克斯
柠檬,北京紫禁城三联影视发行有限公司
功夫熊猫,派拉蒙影业公司
人工智能,梦工厂电影发行公司
想爱就爱,Thai
想爱就爱,CD
想爱就爱,Online
神奇四侠,二十世纪福克斯电影公司
狼牙,华夏电影；粤港电影；广东华影南方电影
钟无艳,国际电影发行有限公司
钟无艳,万寿影片公司
狄仁杰之通天帝国,华谊兄弟传媒股份有限公司
杀破狼,天映娱乐有限公司
月球,索尼经典Sony
月球,Pictures
月球,Classics
月球,美国
阿修罗,寰亚电影发行有限公司
盗贼同盟,Showbox
守望者,华纳兄弟影片公司
人肉叉烧包,新宝娱乐有限公司
王的男人,Cinema
王的男人,Service
女人公敌,光影华视
碧血剑,邵氏兄弟
碧血剑,香港
碧血剑,有限公司
属于你的我的初恋,Toho
属于你的我的初恋,International
属于你的我的初恋,Company
属于你的我的初恋,Inc
色即是空2,showbox
骆驼祥子,Glazer
骆驼祥子,and
骆驼祥子,Beck
赌神,永盛电影公司
绣春刀,中国电影股份有限公司
纽约,Yash
纽约,Raj
纽约,Films
幽灵,华夏电影发行有限责任公司
舞出我人生,博伟电影公司；SPI
舞出我人生,International；
黑衣人3,哥伦比亚影片公司
奇门遁甲,嘉禾电影有限公司
前任攻略,华谊兄弟传媒股份有限公司
窃听风云,保利博纳电影
窃听风云,浙江博纳
窃听风云,西安银都等
天使之恋,GAGA新线
天使之恋,日本
天使之恋,[2]
僵尸先生,Hong
僵尸先生,Kong
僵尸先生,Legends[英国]
四大名捕3,北京光线影业有限公司
穿越时空的少女,博伟电影
蓝宇,Epicentre
蓝宇,Films
宝莲灯,中国电影发行放映公司
致命弯道,20世纪福克斯电影公司
致命弯道,美国
金馆长对金馆长对金馆长,Showbox
熔炉,韩国CJ娱乐株式会社
向日葵,Showbox
向日葵,韩国
熊出没之夺宝熊兵,卡通先生
熊出没之夺宝熊兵,天津
熊出没之夺宝熊兵,影业有限公司
木乃伊,环球影业
黑色大丽花,环球影业
埃及艳后,派拉蒙影业公司
埃及艳后,索尼影视娱乐
蒙娜丽莎,电影频道节目制作中心
梦回鹿鼎记,搜狐畅游
梦回鹿鼎记,唐人影视
大侦探福尔摩斯,华纳兄弟影业
X战警：第一战,二十世纪福斯
移动迷宫,20世纪福克斯
逍遥法外,梦工厂家庭娱乐
恋爱通告,发行工作室有限公司
黑衣人,哥伦比亚影业
铁血战士,20世纪福克斯公司
星巴克,HereticFilms
星巴克,2007
星巴克,USA
星巴克,DVD
黄真伊,Cinema
黄真伊,Service
归来,乐视
归来,万达影视
归来,Wild
归来,Bunch
归来,索尼经典
最美的时光,宁波大学科学技术学院
雪花秘扇,福克斯探照灯公司
怦然心动,Yash
怦然心动,Raj
怦然心动,Films
怦然心动,Pvt
怦然心动,Ltd
财神客栈,博纳影业集团有限公司
雨果,派拉蒙影业公司
雨果,Gk
雨果,Films
狼人,环球影业
独立日,20世纪福克斯公司
搜索,中国电影股份有限公司北京电影发行分公司
搜索,华夏电影发行有限责任公司
白发魔女传,长城电影制片有限公司
终结者5,派拉蒙影业公司
终结者5,天舞影业
晚秋,Daeyang
晚秋,Movies
名侦探柯南：天空的遇难船,东宝株式会社
出轨的女人,美亚娱乐
林中小屋,美亚华天下
林中小屋,珠江影业
死亡飞车,环球影业
死亡飞车,United
死亡飞车,International
死亡飞车,Pictures
地狱神探,华纳兄弟影业
黄真伊,Keukdong
黄真伊,Entertainment
虞美人,友联影片公司
被解救的姜戈,韦恩斯坦国际影业公司
被解救的姜戈,美国
