from_name,to_name
high kick 3,金炳旭
超体,吕克·贝松
绝代双骄,楚原
谍影重重,道格·里曼
武松,李翰祥
澳门风云2,王晶
金刚狼2,詹姆斯·曼高德
非诚勿扰2,冯小刚
明日边缘,道格·里曼
蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰
不可撤销,加斯帕·诺
毒战,杜琪峰
没关系，是爱情啊,金奎泰
天堂电影院,吉赛贝·托纳多雷
小李飞刀,鲍学礼
小李飞刀,午马
机械师,布拉特·安德森
分手合约,吴基焕
铜雀台,赵林山
少林寺,张鑫炎
午夜凶铃,戈尔·维宾斯基Gore
午夜凶铃,Verbinski
低俗小说,昆汀·塔伦蒂诺
鹰眼,D·J·卡卢索
楚门的世界,彼得·威尔
铠甲勇士拿瓦,郑国伟[1]
泰迪熊,塞思·麦克法兰
如意,黄健中
家,陈可辛
夜访吸血鬼,尼尔·乔丹
钢铁侠2,乔恩·费儒
蚁人,佩顿·里德
地球,艾雷斯泰·法瑟吉尔
地球,马克·林菲尔德
金枝玉叶,陈可辛
金太狼的幸福生活,李爽
超级战舰,彼得·博格
家,玛丽·哈维斯提克Mary
家,Haverstick
前度,麦曦茵
二次曝光,李玉
重返20岁,陈正道
海扁王,马修·沃恩
悲惨世界,Glenn
悲惨世界,Jordan
金刚,彼得·杰克逊
绿茶,张元
致命魔术,克里斯托弗·诺兰
大逃杀,深作欣二
春娇与志明,彭浩翔
铁观音,罗维
阳光灿烂的日子,姜文
战国,金琛
浪客剑心,大友启史
禁室培欲3：香港情夜,梁德森
灰姑娘,肯尼思·布拉纳
蝴蝶,费利普·弥勒
罪恶之城,弗兰克·米勒
罪恶之城,罗伯特·罗德里格兹等
碟中谍,布莱恩·德·帕尔玛
暗香,李威
巴西,特里·吉列姆
谍影重重4,托尼·吉尔罗伊
岁月神偷,罗启锐
满江红,秦剑
满江红,左几
超能陆战队,唐·霍尔
超能陆战队,克里斯·威廉姆斯
真相,金基德Ki-duk
真相,Kim
血滴子,刘伟强
真相,徐庆东
真相,徐庆东
爱丽丝梦游仙境,克莱德·杰洛尼米
桃姐,许鞍华
刺客信条,贾斯汀·库泽尔
大闹天宫,万籁鸣
大闹天宫,唐澄
脑筋急转弯,Jerry
脑筋急转弯,Sangiuliano
白发魔女传之明月天国,张之亮
梅花,王安庆
私人订制,冯小刚
撒旦,Viktor
撒旦,Aristov
智取威虎山3D,徐克
蝴蝶,麦婉欣
建国大业,韩三平
建国大业,黄建新
茉莉花,扬·雅库布·科尔斯基
力王,蓝乃才
搏击俱乐部,David
搏击俱乐部,Fincher
我和春天有个约会,高志森
伟大的隐藏者,张哲秀
爱丽丝梦游仙境,蜂须贺健太郎
爱丽丝梦游仙境,尼克·威灵
偷窥无罪,麦子善
爱丽丝梦游仙境,Norman
爱丽丝梦游仙境,Z
爱丽丝梦游仙境,McLeod
埃及艳后,约瑟夫·L·曼凯维奇
爱丽丝梦游仙境,杨·史云梅耶
美人鱼,李少红
美国往事,Sergio
美国往事,Leone
天将雄师,李仁港
杀死比尔,昆汀·塔伦蒂诺
一步之遥,姜文
木乃伊4,艾里克斯·库兹曼
七小福,罗启锐
